cell_id,user_id,g1_overall_metric,g2_overall_metric,overall_delta_g2_minus_g1,overall_headroom_retention,g1_overall_n_eval_points,g2_overall_n_eval_points,g1_overall_class_count_present,g2_overall_class_count_present,g1_recommend_metric,g2_recommend_metric,recommend_delta_g2_minus_g1,recommend_headroom_retention,g1_recommend_n_eval_points,g2_recommend_n_eval_points,g1_recommend_class_count_present,g2_recommend_class_count_present
low_diversity,640,0.08832055817610063,0.020089285714285712,-0.06823127246181492,-0.19555992866367386,300,300,32,32,0.16666666666666666,0.0,-0.16666666666666666,-0.23076923076923078,6,6,6,6
low_diversity,641,0.08271580243595233,0.028124999999999997,-0.05459080243595234,-0.06071993152907647,300,300,32,32,0.3333333333333333,0.0,-0.3333333333333333,-0.10344827586206898,4,4,3,3
low_diversity,642,0.07917794521654815,0.03480113636363637,-0.04437680885291179,0.07409323198796891,300,300,32,32,0.3333333333333333,0.0,-0.3333333333333333,-0.10344827586206898,3,3,3,3
low_diversity,643,0.09403134606938955,0.04671474358974359,-0.04731660247964596,0.24632704709215802,300,300,32,32,0.2,0.0,-0.2,-0.18518518518518517,8,8,5,5
low_diversity,644,0.09901147959183673,0.0390625,-0.05994897959183673,0.11529411764705882,300,300,32,32,0.2,0.0,-0.2,-0.18518518518518517,10,10,5,5
low_diversity,645,0.08007097069597069,0.03333333333333333,-0.046737637362637356,0.04267291910902696,300,300,32,32,0.3333333333333333,0.0,-0.3333333333333333,-0.10344827586206898,3,3,3,3
low_diversity,646,0.09401531930601698,0.03630952380952381,-0.05770579549649316,0.08061018195184713,300,300,32,32,0.3333333333333333,0.0,-0.3333333333333333,-0.10344827586206898,5,5,3,3
low_diversity,647,0.08159757805561249,0.0078125,-0.07378507805561249,-0.46551395131880247,300,300,32,32,0.14285714285714285,0.0,-0.14285714285714285,-0.28,7,7,7,7
low_diversity,648,0.07727978543195935,0.020833333333333332,-0.05644645209862602,-0.22630274221165889,300,300,32,32,0.0,0.0,0.0,nan,4,4,3,3
low_diversity,649,0.08144131867455039,0.035962301587301584,-0.0454790170872488,0.09388678583754698,300,300,32,32,0.14285714285714285,0.14285714285714285,0.0,1.0,9,9,7,7
low_diversity,650,0.08942082525839794,0.02291666666666667,-0.06650415859173127,-0.14325623362426468,300,300,32,32,0.25,0.0,-0.25,-0.14285714285714285,6,6,4,4
low_diversity,651,0.07795633208704822,0.05319940476190475,-0.024756927325143466,0.4699449471004677,300,300,32,32,0.0,0.3333333333333333,0.3333333333333333,nan,4,4,3,3
low_diversity,652,0.0900297619047619,0.03125,-0.058779761904761904,0.0,300,300,32,32,0.25,0.0,-0.25,-0.14285714285714285,6,6,4,4
low_diversity,653,0.0921999601275917,0.024519230769230772,-0.06768072935836092,-0.11043106864514989,300,300,32,32,0.3333333333333333,0.0,-0.3333333333333333,-0.10344827586206898,3,3,3,3
low_diversity,654,0.0821787084398977,0.034374999999999996,-0.04780370843989771,0.06136028373246279,300,300,32,32,0.16666666666666666,0.0,-0.16666666666666666,-0.23076923076923078,6,6,6,6
low_diversity,655,0.08379090755735492,0.039732142857142855,-0.04405876470021207,0.16143883407197607,300,300,32,32,0.5,0.0,-0.5,-0.06666666666666667,3,3,2,2
low_diversity,656,0.07887613378684807,0.03645833333333333,-0.042417800453514745,0.10935872638000288,300,300,32,32,0.16666666666666666,0.0,-0.16666666666666666,-0.23076923076923078,6,6,6,6
low_diversity,657,0.08480497758161692,0.01501736111111111,-0.06978761647050581,-0.3031023374839549,300,300,32,32,0.0,0.0,0.0,nan,4,4,4,4
low_diversity,658,0.07687074829931972,0.051075268817204304,-0.02579547948211542,0.4345669362354569,300,300,31,31,0.0,0.0,0.0,nan,7,7,6,6
low_diversity,659,0.061210317460317465,0.033482142857142856,-0.02772817460317461,0.0745033112582781,300,300,32,32,0.0,0.0,0.0,nan,4,4,4,4
low_diversity,660,0.09161566032533773,0.03010752688172043,-0.0615081334436173,-0.018925877926660117,300,300,31,31,0.25,0.25,0.0,1.0,5,5,4,4
low_diversity,661,0.07985016266266266,0.03463541666666667,-0.045214745995995995,0.06965854600456992,300,300,32,32,0.25,0.0,-0.25,-0.14285714285714285,5,5,4,4
low_diversity,662,0.0924026167112697,0.036458333333333336,-0.05594428337793637,0.08516942713873275,300,300,32,32,0.2,0.0,-0.2,-0.18518518518518517,7,7,5,5
low_diversity,663,0.09875628591954023,0.03229166666666666,-0.06646461925287357,0.015430661789158574,300,300,32,32,0.3333333333333333,0.0,-0.3333333333333333,-0.10344827586206898,6,6,3,3
low_diversity,664,0.07537153430451127,0.03330176767676768,-0.04206976662774359,0.04650263661746445,300,300,32,32,0.0,0.0,0.0,nan,4,4,4,4
low_diversity,665,0.06276041666666667,0.04375,-0.01901041666666667,0.39669421487603296,300,300,32,32,0.0,0.0,0.0,nan,3,3,3,3
